9
9
50
1
5
0, 0, 0, 0, 9001, 9001, 120, 0, 9001, 9001, 0, 3000
220, 0, 0, 9001, 20, 0, 0, 0, 0, 0, 9001, 0
0, 9001, 9001, 9001, 0, 9001, 0, 9001, 0, 9001, 0, 0
0, 0, 0, 0, 0, 9001, 0, 0, 9001, 0, 100, 0
9001, 9001, 9001, 0, 0, 0, 0, 0, 0, 0, 9001, 0
0, 9001, 0, 9001, 0, 9001, 9001, 0, 0, 0, 0, 0
0, 0, 0, 40, 9001, 0, 2000, 0, 9001, 0, 0, 0
0, 9001, 0, 0, 9001, 9001, 0, 80, 9001, 0, 0, 0
280, 0, 9001, 9001, 180, 0, 0, 0, 0, 0, 250, 9001
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9001, 0
0, 0, 9001, 9001, 9001, 9001, 0, 9001, 0, 300, 0, 0
1200, 150, 0, 0, 0, 0, 0, 0, 9001, 0, 0, 0
